동호회명,시도명,시군구명,종목명,부종목명,장애유형명,운영시간내용,동호회 소개내용
다이노스 클럽,경상남도,경상남도 고성군,볼링,,발달(지적/자폐)장애,매주 월 오후 5시,
2023 전북장애인생활체육 군산새만금볼링클럽(군산),전라북도,전라북도 군산시,볼링,,지체(척수 및 절단 및 기타)장애,매주 월요일 10:30~11:30,
(기금) 2023 옥천DEAF볼링클럽,충청북도,충청북도 옥천군,볼링,,청각장애,매주 수 오후 1시 30분,안녕하세요 옥천DEAF볼링클럽입니다.
(도비) 2023 충주애플볼링동호회,충청북도,충청북도 충주시,볼링,,청각장애,매주 수요일 15:00-16:30,
통영시각볼링클럽,경상남도,경상남도 통영시,볼링,,시각장애,매주 수요일 오후1시,시각장애인의 건전한 스포츠활동을 위해 볼링을 즐기는 통영지회 회원으로 등록된 시각장애인클럽
(도비)태안군PINE볼링클럽,충청남도,충청남도 태안군,볼링,,기타장애,매주 월요일 19:00,
돌핀볼링클럽,울산광역시,울산광역시 남구,볼링,,기타장애,매주 토 10시,울산광역시 관내 전체유형의 장애인이 모두 참여할수 있는 볼링클럽입니다. 시각 지적 지체 뇌병변 청각등 장애인볼링동호인이면 누구나 참석가능하며 2023년도에는 해바라기볼링장에서 활동 합니다.
2023전북장애인생활체육해밀볼링클럽,전라북도,전라북도 김제시,볼링,,발달(지적/자폐)장애,매주화요일 2시-4시,
양주사랑시각볼링클럽,경기도,경기도 양주시,볼링,,시각장애,매주 수 10시,양주시에 위치한 시각장애인으로 구성된 시각볼링클럽입니다.
대전B BC,대전광역시,대전광역시 서구,볼링,,시각장애,"매주 월, 수 오후 13시30분",대전 시각장애인이 주축이 되어 매주 장애인볼링을 통한 건강증진과 여가 문화정착을 위한 모임을 하고 있습니다.
허리케인클럽,경상남도,경상남도 진주시,볼링,,청각장애,매주 일 오후 4시,
(도비)네오볼링클럽,충청남도,충청남도 당진시,볼링,,기타장애,"매월 2,4주 화 19시~21시",
양산지체볼링동호회,경상남도,경상남도 양산시,볼링,,지체(척수 및 절단 및 기타)장애,"매주 화,토 오후 6시",
(기금)사비발달볼링클럽,충청남도,충청남도 부여군,볼링,,발달(지적/자폐)장애,매주 목요일 오후 2시,사비발달주간보호센터 운영자 중심으로 구성된 볼링 동호회 입니다.
굴릴레오,경상남도,경상남도 김해시,볼링,,지체(척수 및 절단 및 기타)장애,매주 월 오후1시,
2023 전북장애인생활체육 볼링클럽,전라북도,전라북도 익산시,볼링,,청각장애,화 14:00~15:30,
합천농아인 볼링클럽,경상남도,경상남도 합천군,볼링,,청각장애,매주 목 오후 2시,합천군 농아인 볼링클럽을 통해 건전한 체육문화를 인식하고 더불어 건강증진 할 수 있는 목표를 가진 클럽입니다.
신장장애인건강증진UP,경상남도,경상남도 진주시,볼링,,기타장애,매월 화요일목요일 중 1회이상,
경호 볼링,경상남도,경상남도 산청군,볼링,,지체(척수 및 절단 및 기타)장애,"매월 1-2회, 15:00 ~ 17:00","산청의 지체, 지적, 뇌병변 장애인들과 비장애인이 함께 어울리는 볼링 클럽입니다."
(도비)금산군 장애인 생활체육 볼링교실,충청남도,충청남도 금산군,볼링,,지체(척수 및 절단 및 기타)장애,매주 화 18-19시,
보물섬D.B.C,경상남도,경상남도 남해군,볼링,,청각장애,매주 수 오후2시,보물섬 D.B.C 클럽은 2001년 처음으로 창단되었습니다. 처음에 농인 6명으로 시작했던 저희 농인들이 다른 유형의 장애인들과 합하여 동아리를 결성하였습니다. 서로 장애유형이 다르더라도 서로 합심하여 동아리를 운영하고 있습니다. 올해 더욱 열심히 클럽을 이끌어 가도록 하겠습니다.
에이스볼링클럽,경기도,경기도 부천시,볼링,,시각장애,매주수 오후2시,
숭인볼사모,경상남도,경상남도 양산시,볼링,,기타장애,매주 일요일 오전 11시,정신장애인과 비장애인 회원으로 이루어진 볼링동아리입니다.
삼무동장애인볼링동호회,경기도,경기도 평택시,볼링,,시각장애,매주 토요일 10시30분,"삼무동장애인볼링동호회는 2006년에 결성되었습니다. 평택시에 거주하는 볼링에 관심있는 신체활동이 가능한 장애인들이 결성되어 매주 토요일 오전10시30분,  K2볼링장에서 정기 모임을 갖고 있습니다. 정기모임을 통하여 서로간의 친목도모와 유대강화 그리고 건강이 증진되었으며, 꾸준한 훈련으로 자질이 향상되어 전문선수로써 활동하시는 분들도 계십니다."
느티나무 볼링동호회,경상남도,경상남도 산청군,볼링,,발달(지적/자폐)장애,매주 금 오후3시,느티나무 볼링동호회는 장애인 볼링 클럽입니다.  산청볼링센터에서 매주 금요일 15시에 프로그램을 진행합니다.  장애인과 비장애인이 함께 어울려 운동하는 볼링 동호회이니 많은 관심과 응원 부탁드립니다.
굴림돌,경상남도,경상남도 창원시마산합포구,볼링,,발달(지적/자폐)장애,매주 월 14시 30분,발달장애인 성인 볼링 동아리
다사랑B.C,경상북도,경상북도 경산시,볼링,,청각장애,매주 토 오후 6시 30분,
ZEUS B.C(제우스볼링클럽),경상북도,경상북도 안동시,볼링,,청각장애,매주 금 오후 7시,
2023 전북장애인생활체육 볼링텐핀클럽(남원),전라북도,전라북도 남원시,볼링,,기타장애,매주 금 오후1시,
2023 진천군장애인볼링클럽,충청북도,충청북도 진천군,볼링,,기타장애,매주 월  18:30 ~ 20:30,
군포시장애인볼링동호회,경기도,경기도 군포시,볼링,,발달(지적/자폐)장애,매주 목 17시,
서장볼 볼링클럽,제주특별자치도,제주특별자치도 서귀포시,볼링,,지체(척수 및 절단 및 기타)장애,매주 토요일 오후2시,
느티나무 볼링팀,경상남도,경상남도 양산시,볼링,,발달(지적/자폐)장애,"매주 월, 화 13시",느티나무 볼링팀 동아리
스핀,경상남도,경상남도 양산시,볼링,,발달(지적/자폐)장애,매주금요일 오후4시,볼링을하면서 소리에 스트레스해소도되고 게임하면서 승부욕도생기며.  서로서로챙기며 우애도돈독하는 스핀동아리입니다.
갈마그랜드BC,대전광역시,대전광역시 서구,볼링,,지체(척수 및 절단 및 기타)장애,"매주 월, 수  오전 10시 00분",장애인볼링을 통한 전문체육인 양성 및 건강증진 도모
별동아리,경상남도,경상남도 거제시,볼링,,발달(지적/자폐)장애,매주 첫 째주 일요일 10:00~11:30,발달장애인의 재능발굴및 사회성 향상을 통하여 지역사회와 더불어 살아가는 기초 다지기 모임.  비장애인들과의 교류를 통하여 사회성을 확장시키고자 지원함.
(기금) 2023 희망영동볼링동호회,충청북도,충청북도 영동군,볼링,,지체(척수 및 절단 및 기타)장애,매주 목 오후 2시,
한울타리볼링동호회,전라남도,전라남도 여수시,볼링,,지체(척수 및 절단 및 기타)장애,매주 목요일 오후2시,여수장애인생활체육 동호회 클럽으로 많은장애인의 참여활동과 프로그램을 참여활수있도록   최선을다하며 장애인만족도 증감효과  및 다른동호회와 다르게 시각 청각 지체 뇌병변 장애인이참석하므로 유대관계활성화및 참석하여 운동하며  모든회원이전원참석하려고 노력한다.
해남땡벌볼링클럽,전라남도,전라남도 해남군,볼링,,기타장애,매주 토 오후 19:00,해남군에서 재미있게 볼링 즐기실 장애우 분 신청 & 문의 주세요.
통영엔조이볼링클럽,경상남도,경상남도 통영시,볼링,,청각장애,격주/ 일요일/ 오후4시,안녕하세요  통영엔조이볼링클럽입니다  남녀노소 누구나 즐길 수 있는 볼링종목!!  볼링을 배우면서 건강도 찾고 다양한 사람들과 어울리며 재미도 느끼실 분들!! 모두 참여해주세요~^^
울타리회볼링동호회,경상남도,경상남도 양산시,볼링,,지체(척수 및 절단 및 기타)장애,매주 토요일 오후 1시,다양한 장애인들 모여 활동하며 서로 서로 장애에 대한 이애의 폭을 넓히며 개인역량을 정진 강화하는 활동을 함.
월평발달장애인주간보호센터,대전광역시,대전광역시 서구,볼링,,발달(지적/자폐)장애,"매주 목,금 오후 3시",월평발달장애인주간보호센터 볼링 동호회
핑클여성동호회,전라남도,전라남도 여수시,볼링,,지체(척수 및 절단 및 기타)장애,매주 화.오후 2시,여수장애인볼링협회에 소속된 여성장애인볼링클럽으로 매주 화요일 회원들 간의 소통과 실력 향상을 위해 볼링이 진행되고 있다. 향후 전국 장애인 볼링 선수들이 나올 수 있기를 희망하며 모든 회원들이 총력을 다해 자기 개발에 힘쓰고 있습니다.
거창플레져볼링클럽,경상남도,경상남도 거창군,볼링,,청각장애,"매주 목, 오후 3시",
클로버데프볼링클럽,서울특별시,서울특별시 금천구,볼링,,청각장애,매주 목 오후8시,클로버데프볼링동호회
(기금)2023 영월한국소방마이스터고 청소년볼링동호인클럽,강원도,강원도 영월군,볼링,,발달(지적/자폐)장애,매주 수 10:00~12:00,청소년볼링동호인클럽으로 많은 참석 바랍니다.
(도비)천안사랑볼링스포츠클럽,충청남도,충청남도 천안시,볼링,,기타장애,매주 화 16:00~18:00,
(도비) 2023 우리들볼링클럽,충청북도,충청북도 청주시,볼링,,기타장애,"매주 목, 15:00~17:00",충북 지역 정신장애인분들의 많은 관심과 참여 부탁드립니다.
볼펙토리 볼링 클럽,부산광역시,부산광역시 북구,볼링,요가,청각장애,"매주 토, 19:30",
부산시각징애인텐핀볼링클럽,부산광역시,부산광역시 북구,볼링,,시각장애,"매주첫째,둔째 토요일 오전10시","취미목적이니 저희볼링클럽에 오면 남여노소 실력 상관없이 누구나 볼링을 할수있고  훈련도 받을수도 있습니다.  부담없이 가입해주세요,"
엔돌핀,경상남도,경상남도 거제시,볼링,,기타장애,"둘째,넷째 화요일 오후4시",거제신장장애인볼링동아리 엔돌핀
위너스볼링클럽,경기도,경기도 성남시,볼링,,지체(척수 및 절단 및 기타)장애,매주수요일10시,모든 유형의장애인의 친목도모를 위한 모임입니다
마들볼링,서울특별시,서울특별시 노원구,볼링,,지체(척수 및 절단 및 기타)장애,"매주 목, 금 15시",20년 전통의 장애인 볼링 클럽입니다.   건영 옴니 볼링센터에서 매주 목요일과 금요일 15시에 정기 모임을 진행합니다.   장애인과 비장애인이 함께 어울려 운동하는 볼링 동호회이니 많은 관심과 신청 바랍니다
(도비) 2023 한마음볼링클럽,충청북도,충청북도 충주시,볼링,,발달(지적/자폐)장애,매주 수요일 오전10시,생활체육을 필요로 하는 당사자에게 체험 기회를 제공함으로써 건전한 경쟁을 통해 성취감 고취 및 스트레스 해소에 목적을 둠.
고양스카이볼링클럽,경기도,경기도 고양시,볼링,,시각장애,매주 수 오후 6시,"관내 시각장애인의 인권향상과 권익옹호를 위해 노력하고 있으며, 여가문화지원 및 시각장애인의 생활스포츠를 통해 건강한 정신과 건강한 신체를 관리하시도록 노력합니다."
월드비씨클럽,전라남도,전라남도 광양시,볼링,,지체(척수 및 절단 및 기타)장애,"매주 화, 화요일 1시",
