종목명,부종목명,시도명,시군구명,프로그램명,장애유형명,운영시간,프로그램소개내용,모집시작일,모집종료일,운영시작일,운영종료일
다트,,충청북도,충청북도 영동군,(도비)2023 장애인생활체육 시각한궁교실,시각장애,매주 화 오전11:00~12:00,,2023-02-01,2023-02-28,2023-04-04,2023-10-10
다트,,충청북도,충청북도 보은군,(도비)2023년 장애인 생활체육 한궁교실,발달(지적/자폐)장애,매주 수요일 14:00~15:00,,2023-03-06,2023-05-31,2023-03-08,2023-08-23
당구,,충청북도,충청북도 충주시,(도비) 2023 장애인생활체육 투데이당구교실,지체(척수 및 절단 및 기타)장애,매주 토10:00~12:00,,2023-03-01,2023-03-30,2023-04-01,2023-09-23
당구,,충청남도,충청남도 서천군,(군비) 서천군 어울림 당구 교실,지체(척수 및 절단 및 기타)장애,"화, 목 14:00~15:00",,2023-01-01,2023-12-31,2023-03-07,2023-12-12
당구,,전라남도,전라남도 목포시,2023 전남 목포시 장애인생활체육 당구교실,지체(척수 및 절단 및 기타)장애,14:00~15:00,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
당구,,경상북도,경상북도 포항시,당당한당구교실(장애인),지체(척수 및 절단 및 기타)장애,화 14:00 ~ 16:00,,2023-03-01,2023-03-31,2023-04-01,2023-10-31
당구,,경기도,경기도 연천군,연천군 장애인생활체육 당구 교실,지체(척수 및 절단 및 기타)장애,"화,목 13:00 - 15:00",,2023-02-01,2023-11-30,2023-02-01,2023-11-30
당구,,충청남도,충청남도 예산군,2023년 한사랑당구교실,지체(척수 및 절단 및 기타)장애,매주 화요일 17:40~18:40,매주 화요일 17:40~18:40 운영되는 한사랑당구교실입니다. 많은 관심과 참여를 부탁드립니다~,2023-04-11,2023-10-31,2023-04-11,2023-10-31
당구,,울산광역시,울산광역시 동구,2023 성인장애인생활체육 당구교실 - 한수위 당구교실,뇌병변장애,수 10:30~12:00,-담당자 : 조은유 010-2486-2056,2023-01-01,2023-12-31,2023-01-01,2023-12-31
당구,,충청남도,충청남도 보령시,(시비)2023 보령시 당구교실,지체(척수 및 절단 및 기타)장애,금16:00~17:00,,2023-05-04,2023-10-26,2023-05-04,2023-10-26
당구,,충청남도,충청남도 천안시,(도비)모아모아당구교실,발달(지적/자폐)장애,수 10:00~11:30,,2023-03-01,2023-12-30,2023-03-01,2023-12-30
당구,,충청남도,충청남도 금산군,(군비)금산군 생활체육 당구 교실,지체(척수 및 절단 및 기타)장애,화/금 15:00 ~ 16:00,2023년 장애인 생활체육 당구 교실,2023-04-18,2023-10-06,2023-04-18,2023-10-06
당구,,서울특별시,서울특별시 금천구,2023 금천구 지체장애 녹색재단 당구 동호인클럽,지체(척수 및 절단 및 기타)장애,매주 수요일,,2023-04-01,2023-09-20,2023-04-12,2023-09-24
당구,,울산광역시,울산광역시 중구,2023 장애어르신 당구교실 -울장복당구교실,청각장애,월 10:00~12:00,-사업담당자 : 박선미 010-7482-0202  -장애유형 및 정도 성별에 구분 없이 성인 장애인의 다양한 참여를 위해 기초 심화 수업을 구성,2023-01-01,2023-12-31,2023-01-01,2023-12-31
당구,,경상북도,경상북도 구미시,2023 구미시장애인당구교실,기타장애,수 15:00 ~ 16:00,,2023-03-01,2023-03-31,2023-04-01,2023-09-30
당구,,전라북도,전라북도 전주시,2023 전북장애인생활체육 당구,지체(척수 및 절단 및 기타)장애,매주 금 오후 2시,,2023-01-01,2023-04-30,2023-05-01,2023-11-30
당구,,경상북도,경상북도 경주시,경장당 신호등 당구교실,지체(척수 및 절단 및 기타)장애,"화,금 10:00 ~ 12:00",,2023-03-01,2023-03-31,2023-04-01,2023-08-31
당구,,세종특별자치시,세종특별자치시 ,2023년 생활체육 당구교실(문화복지진흥회),기타장애,매주 월 18:00~20:00,세종시장애인문화복지진흥회에서 운영하는 생활체육당구교실,2023-03-15,2023-03-31,2023-04-01,2023-11-30
당구,,충청남도,충청남도 당진시,2023년 장애인 생활체육 당구교실,지체(척수 및 절단 및 기타)장애,수 17:00-19:00,,2023-01-01,2023-12-31,2023-03-22,2023-09-13
당구,,전라북도,전라북도 익산시,2023 전북장애인생활체육 어울림당구교실,지체(척수 및 절단 및 기타)장애,수 14:00~16:00,,2023-04-01,2023-05-31,2023-06-01,2023-11-30
당구,,제주특별자치도,제주특별자치도 제주시,(지방비)2023 지체·뇌병변·발달장애인 당구교실,기타장애,매주 화요일 10:00~12:00,,2023-03-01,2023-11-30,2023-04-01,2023-11-30
당구,,경기도,경기도 양평군,양평군 장애인 당구 교실,지체(척수 및 절단 및 기타)장애,화 13:00~16:00,,2023-02-16,2023-10-31,2023-04-01,2023-10-31
당구,,전라남도,전라남도 순천시,2023 전남 순천시 장애인생활체육 당구교실,지체(척수 및 절단 및 기타)장애,13:00~15:00,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
당구,,경기도,경기도 시흥시,시흥시 장애인 당구 생활체육교실,지체(척수 및 절단 및 기타)장애,월 10:00 ~12:00,시흥시 장애인 당구 생활체육교실,2023-03-01,2023-03-31,2023-04-01,2023-10-31
당구,,충청남도,충청남도 서천군,(기금) 서천군 장애인 어울림 당구 교실,지체(척수 및 절단 및 기타)장애,수 14:00 ~ 15:00,,2023-01-01,2023-12-31,2023-04-05,2023-09-27
댄스스포츠,,전라북도,전라북도 고창군,2023 전북장애인생활체육 댄스스포츠 초보자교실(고창군),발달(지적/자폐)장애,매주 수 10:00~12:00,,2023-05-01,2023-11-30,2023-05-01,2023-11-30
댄스스포츠,,경상남도,경상남도 거제시,(기금)2023년 거제시여성장애인라인댄스스포츠교실,기타장애,수 11:00~12:30,,2023-01-27,2023-09-30,2023-04-05,2023-09-27
댄스스포츠,,경상남도,경상남도 거제시,(기금)2023년 통합장애인행복댄스교실,기타장애,수목 13:00~15:00,,2023-01-27,2023-09-30,2023-04-05,2023-09-06
댄스스포츠,,경기도,경기도 성남시,청각장애인줌바댄스교실,청각장애,목요일 13:30~15:30,,2023-03-01,2023-03-31,2023-04-06,2023-10-31
댄스스포츠,,충청북도,충청북도 충주시,(기금)2023 장애인생활체육 ZAN 댄싱교실,발달(지적/자폐)장애,매주 금 오후 16:30~17:30,,2023-02-20,2023-02-28,2023-03-17,2023-10-27
댄스스포츠,,제주특별자치도,제주특별자치도 서귀포시,2023년 부모와 함께하는 댄스스포츠 교실,기타장애,"매주 토,일요일 19:00~20:00",,2023-03-01,2023-11-30,2023-04-01,2023-11-30
댄스스포츠,,전라북도,전라북도 익산시,2023 전북장애인생활체육 어울림댄스교실,발달(지적/자폐)장애,수 17:00~19:00,,2023-04-01,2023-05-31,2023-06-01,2023-11-30
댄스스포츠,,충청북도,충청북도 청주시,(도비)2023 장애인생활체육 댄스스포츠 교실,발달(지적/자폐)장애,매주 금 16:00~17:00,2023년 장애인생활체육 댄스스포츠 교실,2023-03-01,2023-04-01,2023-04-21,2023-10-06
댄스스포츠,,경기도,경기도 고양시,고양시장애인댄스교실,발달(지적/자폐)장애,13:30~16:00,,2023-01-01,2023-02-28,2023-03-01,2023-12-31
댄스스포츠,,전라남도,전라남도 광양시,2023 전남 광양시 장애인생활체육 백운고 댄스스포츠교실,발달(지적/자폐)장애,14:00~16:00,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
댄스스포츠,,강원도,강원도 속초시,(기금) 2023 금강장애인복지센터 발달장애인 힐링교실,기타장애,"수10:30, 목14:00","2023 속초시 발달장애인힐링교실은 발달장애인및 지체장애인들의 심신안정 및 정서적 교감을 위해 댄스스포츠 및 요가교실 사업을 진행하며 지도자 댄스스포츠1명, 요가1명과 순수참가자23명이 함께 호흡하는 프로그램입니다",2023-03-01,2023-03-30,2023-04-04,2023-10-20
댄스스포츠,,경상남도,경상남도 창원시,2023년 창원시장애인댄스UP 생활체육교실,발달(지적/자폐)장애,월 15:00~16:00,,2023-01-27,2023-09-30,2023-04-03,2023-09-18
댄스스포츠,,세종특별자치시,세종특별자치시 ,2023년 생활체육 댄스교실(장애인복지관),기타장애,매주 화 13:30~15:30,세종시장애인복지관에서 운영하는 댄스교실,2023-03-15,2023-03-31,2023-04-04,2023-10-24
댄스스포츠,,경기도,경기도 성남시,신나는프리댄스교실,발달(지적/자폐)장애,목요일 10:30~12:00,,2023-03-01,2023-03-31,2023-04-01,2023-10-31
댄스스포츠,,경기도,경기도 평택시,평택시 정신장애인 줌바댄스 생활체육교실,발달(지적/자폐)장애,수 13시30분~15시30분,,2023-01-31,2023-02-27,2023-03-08,2023-10-25
댄스스포츠,,경기도,경기도 성남시,은행다온Shall We Dance 교실,발달(지적/자폐)장애,목요일 14:00~16:00,성남시장애인댄스교실,2023-03-01,2023-03-31,2023-03-30,2023-10-26
댄스스포츠,,전라남도,전라남도 영암군,2023년 전남 영암군 장애인생활체육 댄스교실,발달(지적/자폐)장애,매주 화)10시30분~12시30분,영암군장애인생활체육 댄스교실,2023-03-13,2023-04-10,2023-04-11,2023-10-17
댄스스포츠,,인천광역시,인천광역시 남동구,2023년 발달장애인댄스스포츠교실,발달(지적/자폐)장애,금 16:00~18:00,교실명: 2023년 발달장애인댄스스포츠교실  주관처: 인천지적장애인자립지원센터,2023-01-01,2023-03-30,2023-06-23,2023-11-17
댄스스포츠,,경기도,경기도 광주시,광주시 장애인 댄스 교실,기타장애,금요일 10:00~12:00,,2023-02-01,2023-02-10,2023-03-03,2023-08-18
댄스스포츠,,경상남도,경상남도 김해시,(기금)2023년 김해장애인댄스스포츠생활체육교실,기타장애,수 10:30~11:30,,2023-01-27,2023-09-30,2023-04-05,2023-09-20
댄스스포츠,,광주광역시,광주광역시 광산구,(기금) 2023 광산구 장애인생활체육 여성 케이팝댄스교실(박소현),발달(지적/자폐)장애,매주 (화) 16:00~17:00,,2023-03-03,2023-03-27,2023-03-28,2023-09-19
댄스스포츠,,전라남도,전라남도 목포시,2023 전남 목포시 장애인생활체육 댄스스포츠교실,발달(지적/자폐)장애,10:00~11:40,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
댄스스포츠,,경기도,경기도 용인시,댄스스포츠생활체육교실,지체(척수 및 절단 및 기타)장애,"월, 수, 금 17:00~18:00",,2023-01-31,2023-02-13,2023-04-03,2023-09-30
댄스스포츠,,경상남도,경상남도 김해시,"(기금)2023년 3up(자신감, 힐링, 체력) 댄스교실",발달(지적/자폐)장애,월 13:00~14:00,,2023-01-27,2023-09-30,2023-04-03,2023-09-04
댄스스포츠,,전라남도,전라남도 순천시,2023 전남 순천시 장애인생활체육 라틴프리댄스교실,지체(척수 및 절단 및 기타)장애,11:30~12:30,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
댄스스포츠,,대구광역시,대구광역시 남구,2023년 대구발달장애태권도체육교실(대명센터),발달(지적/자폐)장애,매주 수 09:40~11:40,"대명주간보호센터에서 운영하는 발달(지적,자폐성)장애인의 건강한 생활을 지원하기 위한 태권도 생활체육교실입니다.",2023-01-01,2023-03-31,2023-04-01,2023-10-30
댄스스포츠,,경상북도,경상북도 안동시,여성정신장애인의 신체건강 및 정신건강 향상을 위한 댄스교실,발달(지적/자폐)장애,화 14:00 ~ 15:00,,2023-03-01,2023-03-31,2023-04-01,2023-10-31
댄스스포츠,,충청남도,충청남도 금산군,(기금)금산군 장애인 어르신교실,지체(척수 및 절단 및 기타)장애,화 14:00 ~ 15:00,2023 금산군 장애인 어르신교실,2023-04-04,2023-10-10,2023-04-04,2023-10-10
댄스스포츠,,강원도,강원도 인제군,(지방비)인제군체육회 지적장애인 방송댄스교실,발달(지적/자폐)장애,목 13:00~15:00,,2023-03-01,2023-03-31,2023-04-06,2023-12-07
댄스스포츠,,서울특별시,서울특별시 서대문구,(기금) 2023 서대문구 다유형 생활체육 스포츠댄스 교실,발달(지적/자폐)장애,매주 목 13:30~15:30,2023 서대문구 다유형 생활체육 스포츠댄스 교실,2023-01-01,2023-03-31,2023-04-01,2023-10-31
댄스스포츠,,경상북도,경상북도 구미시,생활체육 재활댄스스포츠교실,시각장애,수 15:00 ~ 16:00,,2023-03-01,2023-03-31,2023-05-01,2023-10-31
댄스스포츠,,전라남도,전라남도 영암군,2023 전남 영암군 장애인생활체육 라인댄스 교실,발달(지적/자폐)장애,매주 수)10시00분~11시00분,2023 전남 영암군 장애인생활체육 라인댄스 교실,2023-04-01,2023-05-02,2023-05-03,2023-10-25
댄스스포츠,,충청남도,충청남도 논산시,(기금)논산시장애인실버체조교실,시각장애,매주 금 오후1시30분~2시30분,,2023-01-02,2023-03-16,2023-03-17,2023-10-17
댄스스포츠,,전라남도,전라남도 여수시,2023 전남 여수시 중증장애인생활체육 댄스스포츠교실,발달(지적/자폐)장애,14:00~15:00,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
댄스스포츠,,충청남도,충청남도 금산군,(기금)금산군 여성장애인 다이어트 교실,발달(지적/자폐)장애,목 15:00 ~ 15:40,금산군 여성장애인 다이어트 교실,2023-04-06,2023-10-05,2023-04-06,2023-10-05
댄스스포츠,,대구광역시,대구광역시 수성구,2023년 대구장애아동방송댄스체육교실(수성구청소년),발달(지적/자폐)장애,매주 금 17:00~18:00,발달장애 청소년들(초등)에게 음악과 댄스를 매개로한 신체적 활동을 통해 전인적인 발달을 지원하고 재활스포츠 활동의 체계화 도모하는   방송댄스 교실,2023-02-01,2023-02-20,2023-04-28,2023-10-27
댄스스포츠,,충청북도,충청북도 충주시,(도비)2023 장애인생활체육 라인댄스 교실,발달(지적/자폐)장애,매주 화 오후 14:00~16:00,,2023-02-20,2023-02-28,2023-03-07,2023-07-18
댄스스포츠,,광주광역시,광주광역시 남구,2023년 광주 어르신장애인 댄스교실(정해리),시각장애,매 주 10:00~11:30,,2023-03-21,2023-03-25,2023-04-06,2023-11-30
댄스스포츠,,충청북도,충청북도 제천시,(기금)2023 큰나무댄스스포츠교실,발달(지적/자폐)장애,화 16:00~17:00,,2023-03-01,2023-10-10,2023-04-04,2023-10-10
댄스스포츠,,전라남도,전라남도 여수시,2023 전남 여수시 장애인생활체육 댄스교실,발달(지적/자폐)장애,14:30~16:30,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
댄스스포츠,,서울특별시,서울특별시 강서구,(지방비) 2023 강서구 시각 초보자 생활체육(댄스스포츠)교실,시각장애,화 15:30~17:30,,2023-03-21,2023-06-27,2023-04-04,2023-06-27
댄스스포츠,,대구광역시,대구광역시 중구,2023년 대구지적장애댄스스포츠체육교실(금동원),발달(지적/자폐)장애,0,금동원주간보호센터에서 운영하는 지적발달장애인의 체육교실입니다.   스포츠댄스를 통해 삶의 의미와 활력서를 찾을 가족분을 모십니다.,2023-03-01,2023-03-30,2023-04-01,2023-10-30
럭비,,경상남도,경상남도 거제시,(기금)2023년 거제시지체장애인휠체어럭비생활체육교실,지체(척수 및 절단 및 기타)장애,목 14:00~16:00,,2023-01-27,2023-09-30,2023-04-06,2023-09-21
럭비,,경상남도,경상남도 김해시,(기금)2023년 경남휠체어럭비생활체육교실,지체(척수 및 절단 및 기타)장애,"수15:00~17:00,토14:00~",,2023-01-27,2023-09-30,2023-05-03,2023-07-08
론볼,,광주광역시,광주광역시 북구,(기금)2023년 광주 지체장애인 론볼교실(임수진),지체(척수 및 절단 및 기타)장애,매 주 화 14:00~16:00,,2023-04-17,2023-04-21,2023-05-02,2023-10-31
론볼,,울산광역시,울산광역시 남구,2023 지체장애인생활체육 론볼교실,지체(척수 및 절단 및 기타)장애,토 14:30~17:30,-담당자 :임정희 010-8535-8294,2023-01-01,2023-12-31,2023-01-01,2023-12-31
론볼,,전라남도,전라남도 해남군,2023 전남 해남군 장애인생활체육 론볼교실,지체(척수 및 절단 및 기타)장애,10:30~11:30,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
론볼,,전라남도,전라남도 완도군,2023 전남 완도군 장애인생활체육 어르신론볼교실,지체(척수 및 절단 및 기타)장애,14:00~15:00,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
론볼,,전라남도,전라남도 담양군,2023 전남 담양군 지체장애인생활체육 론볼교실,지체(척수 및 절단 및 기타)장애,10:30~11:30,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
론볼,,충청북도,충청북도 청주시,(도비)2023 장애인생활체육 론볼교실,지체(척수 및 절단 및 기타)장애,금요일 12:00~15:00,,2023-03-01,2023-03-31,2023-04-06,2023-10-20
론볼,,제주특별자치도,제주특별자치도 제주시,(지방비) 2023년 성인장애인론볼교실,지체(척수 및 절단 및 기타)장애,매주 수요일 14:00~16:00,,2023-03-01,2023-11-30,2023-04-01,2023-11-30
론볼,,전라남도,전라남도 강진군,2023 전남 강진군 장애인생활체육 론볼교실,지체(척수 및 절단 및 기타)장애,15:30~16:30,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
론볼,,전라남도,전라남도 순천시,2023 전남 순천시 장애인생활체육 어르신론볼교실,뇌병변장애,13:00~14:00,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
